y,t
-11.5,0
-10.125,0.001953125
-6,0.00390625
-2.625,0.005859375
-2.375,0.0078125
-7.875,0.009765625
-9.875,0.01171875
-7.125,0.013671875
-3.125,0.015625
-1,0.017578125
-2.25,0.01953125
-2,0.021484375
0.25,0.0234375
-0.25,0.025390625
-2.375,0.02734375
1,0.029296875
6.125,0.03125
2.875,0.033203125
-0.375,0.03515625
3.75,0.037109375
7.75,0.0390625
7.875,0.041015625
6.25,0.04296875
5.5,0.044921875
3.375,0.046875
2,0.048828125
3.375,0.05078125
7,0.052734375
9,0.0546875
7.125,0.056640625
6.125,0.05859375
8.875,0.060546875
11.875,0.0625
12.875,0.064453125
10.25,0.06640625
6.125,0.068359375
12.375,0.0703125
14.75,0.072265625
7.625,0.07421875
6.5,0.076171875
4.5,0.078125
-1.5,0.080078125
2.375,0.08203125
10.625,0.083984375
0.875,0.0859375
-3.5,0.087890625
4.625,0.08984375
1,0.091796875
-3.125,0.09375
-3.75,0.095703125
-7.625,0.09765625
-3.375,0.099609375
3.125,0.1015625
4.375,0.103515625
6.5,0.10546875
4.5,0.107421875
3.125,0.109375
3,0.111328125
0.875,0.11328125
3.25,0.115234375
3.75,0.1171875
0.75,0.119140625
1.75,0.12109375
3.75,0.123046875
4.375,0.125
6.875,0.126953125
9,0.12890625
5.125,0.130859375
4,0.1328125
6,0.134765625
6.25,0.13671875
7.625,0.138671875
5.25,0.140625
-0.125,0.142578125
-1.25,0.14453125
1.75,0.146484375
2.375,0.1484375
1.375,0.150390625
0.75,0.15234375
1.375,0.154296875
16.375,0.15625
22.25,0.158203125
7.375,0.16015625
9.125,0.162109375
15.875,0.1640625
10.375,0.166015625
9,0.16796875
17.125,0.169921875
21.875,0.171875
18.75,0.173828125
20,0.17578125
24.25,0.177734375
25.625,0.1796875
19.75,0.181640625
13.375,0.18359375
16.75,0.185546875
20.125,0.1875
21,0.189453125
19.875,0.19140625
18.25,0.193359375
27,0.1953125
29.375,0.197265625
22,0.19921875
18.625,0.201171875
16.125,0.203125
16,0.205078125
24,0.20703125
34.375,0.208984375
42,0.2109375
45.75,0.212890625
48.125,0.21484375
52.625,0.216796875
50.75,0.21875
50.25,0.220703125
53.75,0.22265625
50.75,0.224609375
52.75,0.2265625
68.5,0.228515625
66.75,0.23046875
55.25,0.232421875
64.375,0.234375
75.125,0.236328125
79.25,0.23828125
82,0.240234375
83,0.2421875
82,0.244140625
80.5,0.24609375
87.875,0.248046875
91.625,0.25
93.875,0.251953125
103.125,0.25390625
110,0.255859375
111.375,0.2578125
105.25,0.259765625
106.75,0.26171875
116.75,0.263671875
116.375,0.265625
110.25,0.267578125
106.375,0.26953125
106.125,0.271484375
111,0.2734375
113,0.275390625
111.375,0.27734375
112.5,0.279296875
112.125,0.28125
112.625,0.283203125
120.625,0.28515625
121.875,0.287109375
121.625,0.2890625
124.75,0.291015625
122.625,0.29296875
118.5,0.294921875
116.5,0.296875
112,0.298828125
109.125,0.30078125
109.25,0.302734375
103.875,0.3046875
107.875,0.306640625
108.125,0.30859375
90.5,0.310546875
84,0.3125
84.625,0.314453125
83.625,0.31640625
84.625,0.318359375
84.25,0.3203125
79.875,0.322265625
74.25,0.32421875
75.5,0.326171875
78.625,0.328125
77.125,0.330078125
77.125,0.33203125
76.875,0.333984375
71.875,0.3359375
68.375,0.337890625
67.5,0.33984375
63.5,0.341796875
57,0.34375
59.75,0.345703125
65.375,0.34765625
61.25,0.349609375
53.375,0.3515625
49.375,0.353515625
52.375,0.35546875
51.25,0.357421875
51.375,0.359375
57,0.361328125
51.375,0.36328125
44.375,0.365234375
44.125,0.3671875
45.375,0.369140625
43.125,0.37109375
36.75,0.373046875
36.25,0.375
36.25,0.376953125
37,0.37890625
41.625,0.380859375
42.375,0.3828125
42.25,0.384765625
43,0.38671875
42.375,0.388671875
39.125,0.390625
38.375,0.392578125
43.5,0.39453125
48.125,0.396484375
43.125,0.3984375
36.875,0.400390625
33.375,0.40234375
29.375,0.404296875
25.625,0.40625
22.75,0.408203125
28.5,0.41015625
32.375,0.412109375
24.125,0.4140625
16.875,0.416015625
15.125,0.41796875
12.875,0.419921875
12,0.421875
12.125,0.423828125
10.875,0.42578125
12.25,0.427734375
20,0.4296875
17.125,0.431640625
5.625,0.43359375
4.375,0.435546875
7.25,0.4375
7.375,0.439453125
6.75,0.44140625
5.375,0.443359375
1.375,0.4453125
0.75,0.447265625
2.875,0.44921875
-0.375,0.451171875
-3.25,0.453125
-1.5,0.455078125
-0.125,0.45703125
0.25,0.458984375
-0.25,0.4609375
1.25,0.462890625
4.375,0.46484375
2.625,0.466796875
2.875,0.46875
5.25,0.470703125
2.125,0.47265625
0.875,0.474609375
4.875,0.4765625
7.125,0.478515625
4,0.48046875
-1.625,0.482421875
2,0.484375
1.75,0.486328125
-2.125,0.48828125
3.75,0.490234375
2.125,0.4921875
-5.625,0.494140625
-5.875,0.49609375
-3.625,0.498046875
-4.875,0.5
-2.625,0.501953125
0.125,0.50390625
-3.5,0.505859375
-6.125,0.5078125
-5.75,0.509765625
-7,0.51171875
-4.125,0.513671875
-2.125,0.515625
-5.75,0.517578125
-8.5,0.51953125
-8.375,0.521484375
-4.625,0.5234375
-3.5,0.525390625
-6.75,0.52734375
-11.125,0.529296875
-10.25,0.53125
-5.625,0.533203125
-13.75,0.53515625
-20.625,0.537109375
-7.875,0.5390625
0,0.541015625
-2.375,0.54296875
-4.125,0.544921875
-11.375,0.546875
-19.625,0.548828125
-16.875,0.55078125
-13.25,0.552734375
-18.125,0.5546875
-16.875,0.556640625
-11.625,0.55859375
-13.875,0.560546875
-13.5,0.5625
-10.5,0.564453125
-14.875,0.56640625
-19.5,0.568359375
-15.5,0.5703125
-17.5,0.572265625
-26.5,0.57421875
-22.625,0.576171875
-12.125,0.578125
-17.875,0.580078125
-27,0.58203125
-21.375,0.583984375
-17.25,0.5859375
-17,0.587890625
-14.375,0.58984375
-11.75,0.591796875
-11.625,0.59375
-11.625,0.595703125
-10.875,0.59765625
-13.875,0.599609375
-16.25,0.6015625
-17.25,0.603515625
-17.5,0.60546875
-8.75,0.607421875
-4.625,0.609375
-15.625,0.611328125
